text,label
یه نصفه ستاره بهش می دم که دیگه اینقدر چرند ننویسه,2
هم خیلی گرونه برای یه کتاب هم عکس باعث می شه آدم نخردش چون احساس می کنی با یه کتاب سطحی و بی محتوا مثل طرفی بعدش هم وقتی تو مقدمه می گه بخشهاییش رو قلفتی در آوردیم بنده ترجیح می دم کتاب را از بخرم و اصلشو بخونم,2
متن روونی نداشت مبهم بود و ارزش گذاشتن وقت رو نداشت,2
اصلا کتاب خوبی نیست بسیار بی ملاحظه اس و مغایر با فرهنگ ایرانی توصیه نمی شه,2
ای بابا این هم که پولیه اون هم تازه چقدر گرون,2
گزارش و مصاحبه اول را خواندم اراجیف بود مصاحبه شونده ادعا می کند که نباید  با یک چشم تاریخ را دید بعد می گوید اگر کسی مرداد را مطابق ادعای من نفهمد ابله است می گوید ما در تاریخ نگاری اسلامی نمی خواهیم نظریه پردازی کنیم مگر می شود همین حرف ایشان یعنی نظریه یعنی ما نظریه داریم که تاریخ را می شود این گونه نوشت کلا حیف,2
فایل نمونه اصلا قابل خواندن نیست رنگ متن و زمینه یکی است کیفیت به شدت پایین است بررسی شود لطفا,2
خیلی بد بود این کتاب و خوب فیلم رو نقد نکرد اصلا اشاره ای نشد که از نظر جنگ یک به یک سرباز ایرانی قوی تر بود یا یونانی من همیشه فقط دنبال فهمیدن این موضوع هستم و هیچ کس نتونسته جوابش رو بهم بگه,2
از اسم کتاب و عنوانش مشخصه که ارزش خوندن نداره,2
بخش‌هایی از کتاب خسته کننده می شه و بخش‌هایی هم به شدت جذاب فصل‌ها موضوعات و زمانبندی خیلی عالی چیده شدن و ترجمه‌ی بسیار روان و خوبی هم داره,1
به نظرم ارزش خواندن چند بار رو داشت من به دنیای کامپیوتر علاقه دارم درک این فضا از دیدگاه یک‌ شخص تاثیر گذار در این حوزه واقعا لذت بخش بود این کتاب ارزشمنده ولی ما باید با بومی سازی صحیح و اصولی از تجربیات افراد موفقی مثل استفاده کنیم ممنون مترجم متعهد کتاب,1
کتاب فوق العاده ایه دیدگاه من به دنیای اطرافم رو تا حد زیادی تغییر داد توصیه می کنم بخونید,1
کتاب خیلی خوب و آموزنده ای هست تمام بخش ها بر اساس تحقیقات علمی و کاربردی نوشته شده هم به درد روابط اجتماعی و هم کاری و تجارت می خوره توصیه می کنم حتما بخونید ارزشش رو داره,1
کتاب رو واقعا دوست داشتم و هر چقدر که می خوندمش باز مشتاق می شدم ادامه اش بدم واقعا عزت نفس خیلی مهمه و اسم کتاب درست انتخاب شده ممنون از نویسنده و طاقچه یه چیزجالبی هم که بود این بود که با اتفاقات کتاب احساس نزدیکی می کردم,1
بسیار کتاب عالی است واقعا کسی دنبال خودسازی هست بهش واجب است این کتاب رو مطالعه کند جزو معدود کتاب هایی است که چندین بار آن را خواندم و باز هم وقتی بهش رجوع میکنم مطالب جدید برایم دارد ,1
خیلی فوق العاده بود یه سرگذشت واقعا دوست داشتنی برای من خیلی شب ها باهاشون زندگی کردم به خاطر طنز جاری در اون خیلی جاها خندیدم خیلی جاها باهاشون استرس گرفتم و خیلی این سرگذشت رو دوست داشتم و جذاب اینکه یه سرگذشت واقعی بود صادقانه و صمیمی بود این کتاب و این داستان رو دوست داشتم و یادم می مونه و این که فکر می کنم تو زمان خوبی خوندمش,1
این کتاب روی افکار من تاثیر زیادی گذاشت و به اندازه کتاب هنر شفاف اندیشیدن برام جذاب بود نویسنده به شدت واقع بینانه به زندگی نگاه کرده که قابل تامله ولی شاید ده درصد این کتاب قابل پذیرش نباشه چون گاهی در زندگی باید خوش بین بود و حتی گاهی بدبین به طور کلی کتاب مفیدی بود و مطالب آموزنده زیادی داشت توصیه می کنم بخونید,1
خیلی کتاب جذاب و کاربردی ایه من سه روزه تمومش کردم چون جذاب بود برام ولی از اون کتاب هاییه که هر از چندگاهی باید دوباره خوندش و بخش هایی اش رو می شه مدام بهش مراجعه کرد,1
یکی از بهترین کتابها در حوزه کسب و کار بود که خوندم مثال های کاملا کاربردی داره که نشان دهنده تسلط مولف به موضوع بحث این کتاب خیلی به من که یک فعال اقتصادی هستم کمک کرد ممنون که کتابهای کاربردی را معرفی می کنه,1
واقعا کتاب خوبی هست تصویر پردازی عالی قلم خوب داستان و متن پر محتوا,1
من نسخه چاپیشو دارم در چند جا از کتاب استفاده شده اما شدیدا تاکید دارم این کتابو بخرید و بخونید و ارزش چند بار خواندن رو داره,1
خیلی خوب و زیبا کار شده مرسی از دست اندر کاران این,1
نه فقط این کتاب همه ی اشعار از ظرافت خاصی برخورداره اون حس زنانه توی همه ی اشعار ملموس آرزوی سلامتی و موفقیت های بیشتر برای این شاعر عزیز و گرانقدر,1
کتاب مفیدی بود کتاب های دیگر این نویسنده رو هم دوست دارم بخونم,1
کتاب یکی از آثار فوق العاده و بی نظیر است که همواره قابل ستایش است,1
عالی بود با خواندن این کتاب از مسلمان بودنم احساس افتخار و غرور کردم و خدا را شکر کردم که توانستم چنین کتابی را بخوانم، ای کاش این کتاب زودتر به دستم می رسید,1
کتابی بی نظیر و فوق العاده عمیق سطح تحلیل انسان را نسبت به رویدادها و روزمرگی ها متحول می کند,1
این کتاب عالیه خوندنش برام تجربه خاصی بود از بقیه کتاب های هم یه سر و گردن بالاتره حیف که نسبتا گمنامه ,1
خیلی خوبه واقعا دست خوش نویسنده من که دارم از خوندنش لذت میبرم حتما بخرید به شدت ارزشش رو داره,1
کتاب خوبیه اما همانطور من دوستان همراه فرمودند قویا نیاز به ویرایش املایی داره,0
مجموعه ای از تحقیقات و پژوهش ها پیرامون رفتار مصرف کننده است و محتوای داخل کتاب غنی و عالی است اما ترجمه و مدل ترجمه کمی گنگ است لازم است چند بار کتاب را خواند,0
خیلی جالب و خنده دار بود حسابی خندیدم اما بخش دخترش خیلی ابکی بود جذابیت نداشت اگه پدر و مادر جلو می رفت باحال تر می شد,0
بطور کلی قلم نویسنده قشنگ هست اما واقعا تا قبل از رسیدن به بینهایت طولانی بود اصلا جذبم نمی کرد به زور خوندم و وقتی به رسیدن جذاب شد کاش در کتاب این حجم از یکنواختی مشاهده نشه,0
اولش خیلی خوب شروع شد اما از وسط هاش خیلی پیچیده شد واسه من زیادی سنگین بود و بیخیالش شدم,0
کتاب باحال و لذت بخشیه کلا کتاب هایی که درباره مامان بزرگا باشن قابل احترامن ولی بعضی جاهای کتاب رفتار شخصیت ها واقعا چندش آور بود و اذیتم کرد,0
به نظرم کتاب خوب ولی نه چندان عالی بودحدود ۸۰۰ صفحه دیجیتالی هستش که به نظرم زیادی طولانی شده بود اما خواندنش خالی از لطف نیست تا با جامعه کره شمالی و مشکلات و سختی‌های مردمش آشنا بشیم,0
کتاب بدی نیست اما کشش کمه من نتونستم کامل بخونم,0
قدر ت پرداخت داستان قابل توجه بود اما خط داستانی و اصولاً محتوا قابل ملاحظه نداشتنظر من یک کتاب متوسط ,0
کتاب متوسطیه حرفای تکراری زیاد زده مخصوصا اول و آخر کتاب ولی در فصل های میانی مطالب جالب توجهی هم گفته شده,0
تو کل کتاب جزییات خیلی دقیق و صحنه ها آروم روایت می شه ولی تو فصل آخر یهو همه چی سریع و کلی می شه داستان بد نبود ولی می تونست خلاصه تر باشه در عوض آخرش اینقدر فشرده نباشه,0
یه نظرسنجی راه بندازید و از ورزشکارانی که برای اومدن از نظر شرایط آب و هوایی و بپرسید که چه جوری بوده اونجا,0
لطفا کتاب های بیشتری از بزارید,0
کتاب واقعا عالیه ولی ترجمش زیاد خوب نیست بعضی جاهارو کلا نمی فهمی چی میگه پیشنهاد می کنم بخونین ولی از,0
شروع سوال برانگیزی داره باید دید ادامه ش چجوریه,0
موضوع خوبی داره ولی زیادی خلاصه و کمی تخیلی,0
با سلام می خواستم این کتاب رو از گوشی ببرم تو کامپیوتر ولی هر کاری می کنم فایلش رو تو گوشی پیدا نمی کنم می شه راهنمایی کنید ممنون,0
در پاسخ به باید گفت تاریخ تولد به هجری قمری گفته شده نه هجری شمسی,0
در این نسخه از کدام تصحیح استفاده شده,0
خواهشا نوشته ها رو درست کنید بر عکس هستن,0
